frame.number,frame.time,frame.time_delta,frame.len,mac-lte.rnti,mac-lte.direction
246,Jun 17 2019 12:38:11.830912000 MST,0.000864000,1779,70,1
247,Jun 17 2019 12:38:11.831965000 MST,0.001053000,1158,70,1
248,Jun 17 2019 12:38:11.865022000 MST,0.033057000,548,70,0
249,Jun 17 2019 12:38:11.874031000 MST,0.009009000,88,70,0
250,Jun 17 2019 12:38:11.885061000 MST,0.011030000,548,70,0
251,Jun 17 2019 12:38:11.888919000 MST,0.003858000,120,70,1
252,Jun 17 2019 12:38:11.900985000 MST,0.012066000,256,70,1
253,Jun 17 2019 12:38:11.910032000 MST,0.009047000,120,70,1
254,Jun 17 2019 12:38:11.918906000 MST,0.008874000,284,70,1
255,Jun 17 2019 12:38:11.924990000 MST,0.006084000,548,70,0
256,Jun 17 2019 12:38:11.926928000 MST,0.001938000,72,70,1
257,Jun 17 2019 12:38:11.927953000 MST,0.001025000,128,70,1
258,Jun 17 2019 12:38:11.945036000 MST,0.017083000,548,70,0
259,Jun 17 2019 12:38:11.957069000 MST,0.012033000,72,70,1
260,Jun 17 2019 12:38:11.984969000 MST,0.027900000,548,70,0
261,Jun 17 2019 12:38:11.987928000 MST,0.002959000,284,70,1
262,Jun 17 2019 12:38:11.995953000 MST,0.008025000,120,70,1
263,Jun 17 2019 12:38:11.998037000 MST,0.002084000,88,70,1
264,Jun 17 2019 12:38:12.025059000 MST,0.027022000,548,70,0
265,Jun 17 2019 12:38:12.036910000 MST,0.011851000,176,70,1
266,Jun 17 2019 12:38:12.037979000 MST,0.001069000,284,70,1
267,Jun 17 2019 12:38:12.045110000 MST,0.007131000,548,70,0
268,Jun 17 2019 12:38:12.064987000 MST,0.019877000,548,70,0
269,Jun 17 2019 12:38:12.074138000 MST,0.009151000,1707,70,0
270,Jun 17 2019 12:38:12.075194000 MST,0.001056000,1707,70,0
271,Jun 17 2019 12:38:12.076064000 MST,0.000870000,1707,70,0
272,Jun 17 2019 12:38:12.077128000 MST,0.001064000,1542,70,0
273,Jun 17 2019 12:38:12.078196000 MST,0.001068000,1707,70,0
274,Jun 17 2019 12:38:12.079080000 MST,0.000884000,1707,70,0
275,Jun 17 2019 12:38:12.080151000 MST,0.001071000,1707,70,0
276,Jun 17 2019 12:38:12.080929000 MST,0.000778000,404,70,0
277,Jun 17 2019 12:38:12.083161000 MST,0.002232000,1707,70,0
278,Jun 17 2019 12:38:12.084053000 MST,0.000892000,1707,70,0
279,Jun 17 2019 12:38:12.085113000 MST,0.001060000,1707,70,0
280,Jun 17 2019 12:38:12.086178000 MST,0.001065000,1707,70,0
281,Jun 17 2019 12:38:12.087063000 MST,0.000885000,1707,70,0
282,Jun 17 2019 12:38:12.087064000 MST,0.000001000,72,70,1
283,Jun 17 2019 12:38:12.088135000 MST,0.001071000,1707,70,0
284,Jun 17 2019 12:38:12.089062000 MST,0.000927000,72,70,1
285,Jun 17 2019 12:38:12.089946000 MST,0.000884000,72,70,1
286,Jun 17 2019 12:38:12.091897000 MST,0.001951000,72,70,1
287,Jun 17 2019 12:38:12.092961000 MST,0.001064000,72,70,1
288,Jun 17 2019 12:38:12.124953000 MST,0.031992000,548,70,0
289,Jun 17 2019 12:38:12.134093000 MST,0.009140000,1707,70,0
290,Jun 17 2019 12:38:12.135154000 MST,0.001061000,1707,70,0
291,Jun 17 2019 12:38:12.136034000 MST,0.000880000,1707,70,0
292,Jun 17 2019 12:38:12.137090000 MST,0.001056000,1542,70,0
293,Jun 17 2019 12:38:12.138168000 MST,0.001078000,1707,70,0
294,Jun 17 2019 12:38:12.139052000 MST,0.000884000,1707,70,0
295,Jun 17 2019 12:38:12.140014000 MST,0.000962000,340,70,0
296,Jun 17 2019 12:38:12.143136000 MST,0.003122000,1707,70,0
297,Jun 17 2019 12:38:12.144026000 MST,0.000890000,1707,70,0
298,Jun 17 2019 12:38:12.145085000 MST,0.001059000,1707,70,0
299,Jun 17 2019 12:38:12.146151000 MST,0.001066000,1707,70,0
300,Jun 17 2019 12:38:12.147060000 MST,0.000909000,1707,70,0
301,Jun 17 2019 12:38:12.147970000 MST,0.000910000,72,70,1
302,Jun 17 2019 12:38:12.149029000 MST,0.001059000,72,70,1
303,Jun 17 2019 12:38:12.150999000 MST,0.001970000,128,70,1
304,Jun 17 2019 12:38:12.171030000 MST,0.020031000,72,70,1
305,Jun 17 2019 12:38:12.305051000 MST,0.134021000,548,70,0
306,Jun 17 2019 12:38:12.319007000 MST,0.013956000,216,70,1
307,Jun 17 2019 12:38:12.344967000 MST,0.025960000,548,70,0
308,Jun 17 2019 12:38:12.359996000 MST,0.015029000,1302,70,1
309,Jun 17 2019 12:38:12.360883000 MST,0.000887000,108,70,1
310,Jun 17 2019 12:38:12.385066000 MST,0.024183000,548,70,0
311,Jun 17 2019 12:38:12.424983000 MST,0.039917000,548,70,0
312,Jun 17 2019 12:38:12.448000000 MST,0.023017000,532,70,1
313,Jun 17 2019 12:38:12.484019000 MST,0.036019000,88,70,1
314,Jun 17 2019 12:38:12.484965000 MST,0.000946000,548,70,0
315,Jun 17 2019 12:38:12.505004000 MST,0.020039000,548,70,0
316,Jun 17 2019 12:38:12.548961000 MST,0.043957000,72,70,1
317,Jun 17 2019 12:38:12.585085000 MST,0.036124000,548,70,0
318,Jun 17 2019 12:38:12.624953000 MST,0.039868000,548,70,0
319,Jun 17 2019 12:38:12.643884000 MST,0.018931000,72,70,1
320,Jun 17 2019 12:38:12.644945000 MST,0.001061000,612,70,1
321,Jun 17 2019 12:38:12.646010000 MST,0.001065000,764,70,1
322,Jun 17 2019 12:38:12.649029000 MST,0.003019000,72,70,1
323,Jun 17 2019 12:38:12.649928000 MST,0.000899000,148,70,1
324,Jun 17 2019 12:38:12.665049000 MST,0.015121000,548,70,0
325,Jun 17 2019 12:38:12.674936000 MST,0.009887000,364,70,1
326,Jun 17 2019 12:38:12.704968000 MST,0.030032000,548,70,0
327,Jun 17 2019 12:38:12.729935000 MST,0.024967000,88,70,1
328,Jun 17 2019 12:38:12.745066000 MST,0.015131000,548,70,0
329,Jun 17 2019 12:38:12.764938000 MST,0.019872000,548,70,0
330,Jun 17 2019 12:38:12.768968000 MST,0.004030000,216,70,1
331,Jun 17 2019 12:38:12.805035000 MST,0.036067000,548,70,0
332,Jun 17 2019 12:38:12.814079000 MST,0.009044000,404,70,0
333,Jun 17 2019 12:38:12.830004000 MST,0.015925000,72,70,1
334,Jun 17 2019 12:38:12.831971000 MST,0.001967000,3978,70,1
335,Jun 17 2019 12:38:12.833024000 MST,0.001053000,764,70,1
336,Jun 17 2019 12:38:12.844021000 MST,0.010997000,128,70,1
